parsed,fishbase
Chlorurus bleekeri,Chlorurus bleekeri
Chlorurus bowersi,Chlorurus bowersi
Chlorurus capistratoides,Chlorurus capistratoides
Chlorurus capristratoides,NA
Chlorurus enneacanthus,Chlorurus enneacanthus
Chlorurus frontalis,Chlorurus frontalis
Chlorurus japanensis,Chlorurus japanensis
Chlorurus microrhinos,Chlorurus microrhinos
Chlorurus microrhinus,NA
Chlorurus perspicillatus,Chlorurus perspicillatus
Chlorurus rhakoura,Chlorurus rhakoura
Chlorurus sordidus,Chlorurus sordidus
Chlorurus,NA
Chlorurus strongycephalus,Chlorurus strongylocephalus
Chlorurus strongylocephalus,Chlorurus strongylocephalus
Chlorurus troschelli,NA
Choerodon anchorago,Choerodon anchorago
Choerodon azurio,Choerodon azurio
Choerodon cauteroma,Choerodon cauteroma
Choerodon cephalotes,Choerodon cephalotes
Choerodon fasciatus,Choerodon fasciatus
Choerodon frenatus,Choerodon frenatus
Choerodon gomoni,Choerodon gomoni
Choerodon jordani,Choerodon jordani
Choerodon monostigma,Choerodon monostigma
Choerodon rubescens,Choerodon rubescens
Choerodon schoenleinii,Choerodon schoenleinii
Choerodon,NA
Choerodon,NA
Choerodon sugillatum,Choerodon sugillatum
Choerodon venustus,Choerodon venustus
Choerodon vitta,Choerodon vitta
Choerodon zamboangae,Choerodon zamboangae
Choerodon zosterophorus,Choerodon zosterophorus
Chrionema chlorotaenia,Chrionema chlorotaenia
Chrionema,NA
Chromis acares,Chromis acares
Chromis agilis,Chromis agilis
Chromis alpha,Chromis alpha
Chromis amboinensis,Chromis amboinensis
Chromis atripectoralis,Chromis atripectoralis
Chromis atripes,Chromis atripes
Chromis caudalis,Chromis caudalis
Chromis chrysura,Chromis chrysura
Chromis cinerascens,Chromis cinerascens
Chromis crusma,Chromis crusma
Chromis cyanea,Chromis cyanea
Chromis dimidiata,Chromis dimidiata
Chromis dispilis,NA
Chromis enchrysura,Chromis enchrysura
Chromis flavomaculata,Chromis flavomaculata
Chromis fumea,Chromis fumea
Chromis hypsilepis,Chromis hypsilepis
Chromis iomelas,Chromis iomelas
Chromis klunzingeri,Chromis klunzingeri
Chromis lepidolepis,Chromis lepidolepis
Chromis lineata,Chromis lineata
Chromis margaritifer,Chromis margaritifer
Chromis margaritifera,Chromis margaritifer
Chromis multilineata,Chromis multilineata
Chromis nitida,Chromis nitida
Chromis notata,Chromis notata
Chromis notatus,Chromis notata
Chromis opercularis,Chromis opercularis
Chromis punctipinnis,Chromis punctipinnis
Chromis retrofasciata,Chromis retrofasciata
Chromis retrofasciatus,Chromis retrofasciata
Chromis scotti,Chromis scotti
Chromis,NA
Chromis,NA
Chromis ternatensis,Chromis ternatensis
Chromis vanderbilti,Chromis vanderbilti
Chromis viridis,Chromis viridis
Chromis weberi,Chromis weberi
Chromis westaustralis,Chromis westaustralis
Chromis xanthochira,Chromis xanthochira
Chromis xanthura,Chromis xanthura
Chrosomus erythrogaster,Chrosomus erythrogaster
Chrosomus oreas,Chrosomus oreas
Chrysiptera biocellata,Chrysiptera biocellata
Chrysiptera bleekeri,Chrysiptera bleekeri
Chrysiptera brownriggii,Chrysiptera brownriggii
Chrysiptera brownrigii,NA
Chrysiptera cyanea,Chrysiptera cyanea
Chrysiptera flavipinnis,Chrysiptera flavipinnis
Chrysiptera glauca,Chrysiptera glauca
Chrysiptera hemicyanea,Chrysiptera hemicyanea
Chrysiptera notialis,Chrysiptera notialis
Chrysiptera oxycephala,Chrysiptera oxycephala
Chrysiptera parasema,Chrysiptera parasema
Chrysiptera rex,Chrysiptera rex
Chrysiptera rollandi,Chrysiptera rollandi
Chrysiptera springeri,Chrysiptera springeri
Chrysiptera talboti,Chrysiptera talboti
Chrysiptera unimaculata,Chrysiptera unimaculata
Cichlasoma bimaculatum,Cichlasoma bimaculatum
Cichlasoma paranaense,Cichlasoma paranaense
Cichlasoma uropthalmus,NA
Ciliata,NA
Ciliata mustela,Ciliata mustela
Ciliata septentrionalis,Ciliata septentrionalis
Cirrhilabrus cyanopleura,Cirrhilabrus cyanopleura
Cirrhilabrus exquisitus,Cirrhilabrus exquisitus
Cirrhilabrus punctatus,Cirrhilabrus punctatus
Cirrhilabrus rubriventralis,Cirrhilabrus rubriventralis
Cirrhilabrus scottorum,Cirrhilabrus scottorum
Cirrhilabrus solorensis,Cirrhilabrus solorensis
Cirrhilabrus,NA
Cirrhilabrus temminckii,Cirrhilabrus temminckii
Cirrhitichthys aprinus,Cirrhitichthys aprinus
Cirrhitichthys falco,Cirrhitichthys falco
Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus
Cirrhitus pinnulatus,Cirrhitus pinnulatus
Cirrhoscyllium expolitum,Cirrhoscyllium expolitum
Cirripectes hutchinsi,Cirripectes hutchinsi
Cirripectes stigmaticus,Cirripectes stigmaticus
Cirripectes variolosus,Cirripectes variolosus
Citharichthys,NA
Citharichthys arctifrons,Citharichthys arctifrons
Citharichthys cornutus,Citharichthys cornutus
Citharichthys dinoceros,Citharichthys dinoceros
Citharichthys gymnorhinus,Citharichthys gymnorhinus
Citharichthys macrops,Citharichthys macrops
Citharichthys sordidus,Citharichthys sordidus
Citharichthys,NA
Citharichthys spilopterus,Citharichthys spilopterus
Citharichthys stigmaeus,Citharichthys stigmaeus
Citharus linguatula,Citharus linguatula
Clarias batrachus,Clarias batrachus
Cleidopus gloriamanis,NA
Cleidopus gloriamaris,Cleidopus gloriamaris
Clepticus parrae,Clepticus parrae
Clevelandia ios,Clevelandia ios
Clidoderma asperrimum,Clidoderma asperrimum
Clinidae,NA
Clinocottus acuticeps,Clinocottus acuticeps
Clinocottus analis,Clinocottus analis
Clinocottus auticeps,NA
Clinocottus embryum,Clinocottus embryum
Clinocottus globiceps,Clinocottus globiceps
Clinocuttus acuticeps,NA
Clinostomus funduloides,Clinostomus funduloides
Clinostomus,NA
Clinstomus funduloides,NA
Clupea harengus,Clupea harengus
Clupea pallasi,Clupea pallasii pallasii
Clupea pallasii,Clupea pallasii pallasii
Clupeidae,NA
Clupeiformes,NA
Cnidoglanis macrocephalus,Cnidoglanis macrocephalus
Cobitis taenia,Cobitis taenia
Coccorella,NA
Coccorella atlantica,Coccorella atlantica
Coccorella atrata,Coccorella atrata
Coccorella,NA
Cochleoceps bicolor,Cochleoceps bicolor
Cochleoceps orientalis,Cochleoceps orientalis
Cociella crocodila,Cociella crocodilus
Cociella hutchinsi,Cociella hutchinsi
Coelorinchus abditilux,Coelorinchus caudani
Coelorinchus anatirostris,Coelorinchus anatirostris
Coelorinchus asteroides,Coelorinchus asteroides
Coelorinchus carminatus,Coelorinchus caelorhincus
Coelorinchus cingulatus,Coelorinchus cingulatus
Coelorinchus coelorinchus,NA
Coelorinchus formosanus,Coelorinchus formosanus
Coelorinchus gilberti,Coelorinchus gilberti
Coelorinchus jordani,Coelorinchus jordani
Coelorinchus kamoharai,Coelorinchus kamoharai
Coelorinchus kishinouyei,Coelorinchus kishinouyei
Coelorinchus longissimus,Coelorinchus longissimus
Coelorinchus macrochir,Coelorinchus macrochir
Coelorinchus multispinulosus,Coelorinchus multispinulosus
Coelorinchus occa,Coelorinchus occa
Coelorinchus productus,Coelorinchus productus
Coelorinchus,NA
Colistium guntheri,Colistium guntheri
Colistium nudipinnis,Colistium nudipinnis
Coloconger cadenati,Coloconger cadenati
Cololabis saira,Cololabis saira
Conger,NA
Conger cinereus,Conger cinereus
Conger conger,Conger conger
Conger esculentus,Conger esculentus
Conger japonicus,Conger japonicus
Conger myriaster,Conger myriaster
Conger oceanicus,Conger oceanicus
Conger orbignianus,Conger orbignianus
Conger orbignyanus,Conger orbignianus
Conger,NA
Conger,NA
Conger,NA
Conger triporiceps,Conger triporiceps
Conger verreauxi,Conger verreauxi
Conger wilsoni,Conger wilsoni
Congiopodus coriaceus,Congiopodus coriaceus
Congridae,NA
Congriscus megastomus,Congriscus megastomus
Congrogadus spinifer,Congrogadus spinifer
Conocara macroptera,Conocara macropterum
Conocara murrayi,Conocara murrayi
Conocara salmonea,Conocara salmoneum
Conocara,NA
Conodon nobilis,Conodon nobilis
Contusus richei,Contusus richei
Cookeolus japonicus,Cookeolus japonicus
Coradion altivelis,Coradion altivelis
Coradion chrysozonus,Coradion chrysozonus
Coregonus artedi,Coregonus artedi
Coregonus clupeaformis,Coregonus clupeaformis
Coris auricularis,Coris auricularis
Coris aurilineata,Coris aurilineata
Coris aygula,Coris aygula
Coris batuensis,Coris batuensis
Coris bulbifrons,Coris bulbifrons
Coris dorsomacula,Coris dorsomacula
Coris flavovittata,Coris flavovittata
Coris gaimard,Coris gaimard
Coris picta,Coris picta
Coris pictoides,Coris pictoides
Coris sandageri,Coris sandeyeri
Coris sandeyeri,Coris sandeyeri
Corniger spinosus,Corniger spinosus
Corydoras aeneus,Corydoras aeneus
Coryphaena equiselis,Coryphaena equiselis
Coryphaena hippurus,Coryphaena hippurus
Coryphaena,NA
Coryphaenidae,NA
Coryphaenoides,NA
Coryphaenoides acrolepis,Coryphaenoides acrolepis
Coryphaenoides armatus,Coryphaenoides armatus
Coryphaenoides asper,Coryphaenoides asper
Coryphaenoides carapinus,Coryphaenoides carapinus
Coryphaenoides chalinura,NA
Coryphaenoides coryphaenoides,NA
Coryphaenoides dossenus,Coryphaenoides dossenus
Coryphaenoides guentheri,Coryphaenoides guentheri
Coryphaenoides liocephalus,Coryphaenoides liocephalus
Coryphaenoides lionurus,NA
Coryphaenoides macrocephalus,Coryphaenoides rudis
Coryphaenoides marginatus,Coryphaenoides marginatus
Coryphaenoides marshalli,Coryphaenoides marshalli
Coryphaenoides mcmillani,Coryphaenoides mcmillani
Coryphaenoides nasutus,Coryphaenoides nasutus
Coryphaenoides profundicola,NA
Coryphaenoides rupestris,Coryphaenoides rupestris
Coryphaenoides serrulatus,Coryphaenoides serrulatus
Coryphaenoides spa,NA
Coryphaenoides striaturus,Coryphaenoides striaturus
Coryphaenoides subserrulatus,Coryphaenoides subserrulatus
Coryphaenoides zaniophorus,Coryphaenoides zaniophorus
Coryphoblennius galerita,Coryphoblennius galerita
Coryphopterus dicrus,Coryphopterus dicrus
Coryphopterus eidolon,Coryphopterus eidolon
Coryphopterus glaucofraenum,Coryphopterus glaucofraenum
Coryphopterus lipernes,Coryphopterus lipernes
Coryphopterus nicholsi,Rhinogobiops nicholsii
Coryphopterus,NA
Coryphopterus punctipectophorus,Coryphopterus punctipectophorus
Corythoichthys flavofasciatus,Corythoichthys flavofasciatus
Corythoichthys intestinalis,Corythoichthys intestinalis
Corythoichthys schultzi,Corythoichthys schultzi
Cosmocampus albirostris,Cosmocampus albirostris
Cosmocampus elucens,Cosmocampus elucens
Cosmocampus maxweberi,Cosmocampus maxweberi
Cottapistus cottoides,Cottapistus cottoides
Cottidae,NA
Cottunculoides inermis,NA
Cottunculus,NA
Cottunculus microps,Cottunculus microps
Cottunculus nudus,Cottunculus nudus
Cottunculus sadko,Cottunculus sadko
Cottunculus spinosus,Cottunculus spinosus
Cottunculus subspinosus,Psychrolutes subspinosus
Cottunculus thomsoni,NA
Cottunculus thomsonii,Cottunculus thomsonii
Cottus bairdi,Cottus bairdii
Cottus bairdii,Cottus bairdii
Cottus cognatus,Cottus cognatus
Cottus gobio,Cottus gobio
Cottus scorpius,Myoxocephalus scorpius
Crapatalus angusticeps,Crapatalus angusticeps
Crapatalus novaezelandiae,Crapatalus novaezelandiae
Crenicichla britskii,Crenicichla britskii
Crenilabrus,NA
Crenilabrus melops,Symphodus melops
Crenimugil crenilabis,Crenimugil crenilabis
Cristiceps aurantiacus,Cristiceps aurantiacus
Cromileptes altivelis,Cromileptes altivelis
Crossorhombus azureus,Crossorhombus azureus
Crossorhombus howensis,Crossorhombus howensis
Crossorhombus kanekonis,Crossorhombus kanekonis
Crossorhombus kobensis,Crossorhombus kobensis
Crossorhombus,NA
Crossorhombus,NA
Crossorhombus,NA
Crossorhombus,NA
Cryodraco antarcticus,Cryodraco antarcticus
Cryptacanthodes aleutensis,Cryptacanthodes aleutensis
Cryptacanthodes giganteus,Cryptacanthodes giganteus
Cryptacanthodes maculatus,Cryptacanthodes maculatus
Cryptacanthodidae,NA
Cryptocentrus,NA
Cryptocentrus tentaculatus,Cryptocentrus tentaculatus
Cryptopsaras,NA
Cryptopsaras couesi,Cryptopsaras couesii
Cryptopsaras couesii,Cryptopsaras couesii
Cryptopsaras,NA
Cryptotomus roseus,Cryptotomus roseus
Crystallogobius linearis,Crystallogobius linearis
Ctenochaetus binotatus,Ctenochaetus binotatus
Ctenochaetus cyanocheilus,Ctenochaetus cyanocheilus
Ctenochaetus flavicauda,Ctenochaetus flavicauda
Ctenochaetus marginatus,Ctenochaetus marginatus
Ctenochaetus striatus,Ctenochaetus striatus
Ctenochaetus strigosus,Ctenochaetus strigosus
Ctenogobiops feroculus,Ctenogobiops feroculus
Ctenogobius saepepallens,Ctenogobius saepepallens
Ctenolabrus rupestris,Ctenolabrus rupestris
Ctenopharyngodon idella,Ctenopharyngodon idella
Ctenosciaena gracilicirrhus,Ctenosciaena gracilicirrhus
Ctenotrypauchen microcephalus,Paratrypauchen microcephalus
Cubiceps baxteri,Cubiceps baxteri
Cubiceps caeruleus,Cubiceps caeruleus
Cubiceps gracilis,Cubiceps gracilis
Cubiceps pauciradiatus,Cubiceps pauciradiatus
Cubiceps squamiceps,Cubiceps whiteleggii
Cubiceps whiteleggii,Cubiceps whiteleggii
Culaea inconstans,Culaea inconstans
Cybiosarda elegans,Cybiosarda elegans
Cyclichthys hardenbergi,Cyclichthys hardenbergi
Cyclichthys orbicularis,Cyclichthys orbicularis
Cyclichthys spilostylus,Cyclichthys spilostylus
Cyclichthys spinosus,Chilomycterus spinosus spinosus
Cyclopsetta chittendeni,Cyclopsetta chittendeni
Cyclopsetta fimbriata,Cyclopsetta fimbriata
Cyclopsetta,NA
Cyclopteridae,NA
Cyclopteropsis mcalpini,Cyclopteropsis mcalpini
Cyclopterus lumpus,Cyclopterus lumpus
Cyclothone,NA
Cyclothone acclinidens,Cyclothone acclinidens
Cyclothone alba,Cyclothone alba
Cyclothone atraria,Cyclothone atraria
Cyclothone braueri,Cyclothone braueri
Cyclothone livida,Cyclothone livida
Cyclothone microdon,Cyclothone microdon
Cyclothone obscura,Cyclothone obscura
Cyclothone pallida,Cyclothone pallida
Cyclothone parapallida,Cyclothone parapallida
Cyclothone pseudopallida,Cyclothone pseudopallida
Cyclothone,NA
Cyema atrum,Cyema atrum
Cyema,NA
Cygnodraco mawsoni,Cygnodraco mawsoni
Cymatogaster aggregata,Cymatogaster aggregata
Cymbacephalus nematophthalmus,Cymbacephalus nematophthalmus
Cynoglossidae,NA
Cynoglossus arel,Cynoglossus arel
Cynoglossus bilineatus,Cynoglossus bilineatus
Cynoglossus cadenati,Cynoglossus cadenati
Cynoglossus interruptus,Cynoglossus interruptus
Cynoglossus itinus,Cynoglossus itinus
Cynoglossus joyneri,Cynoglossus joyneri
Cynoglossus kopsii,Cynoglossus kopsii
Cynoglossus lida,Cynoglossus lida
Cynoglossus maccullochi,Cynoglossus maccullochi
Cynoglossus macrophthalmus,Cynoglossus macrophthalmus
Cynoglossus maculipinnis,Cynoglossus maculipinnis
Cynoglossus nigropinnatus,Cynoglossus nigropinnatus
Cynoglossus ogilbyi,Cynoglossus ogilbyi
Cynoglossus punctate,NA
Cynoglossus puncticeps,Cynoglossus puncticeps
Cynoglossus robustus,Cynoglossus robustus
Cynoglossus sibogae,Cynoglossus sibogae
Cynoglossus,NA
Cynoglossus sinusarabici,Cynoglossus sinusarabici
Cynoglossus,NA
Cynoglossus,NA
Cynoglossus,NA
Cynoglossus,NA
Cynoglossus suyeni,Cynoglossus suyeni
Cynomacrurus pirei,Cynomacrurus piriei
Cynoscion,NA
Cynoscion acoupa,Cynoscion acoupa
Cynoscion arenarius,Cynoscion arenarius
Cynoscion guatucupa,Cynoscion guatucupa
Cynoscion jamaicensis,Cynoscion jamaicensis
Cynoscion leiarchus,Cynoscion leiarchus
Cynoscion microlepidotus,Cynoscion microlepidotus
Cynoscion nebulosus,Cynoscion nebulosus
Cynoscion nothus,Cynoscion nothus
Cynoscion regalis,Cynoscion regalis
Cynoscion,NA
Cynoscion striatus,Cynoscion striatus
Cynoscion virescens,Cynoscion virescens
Cyphocharax modestus,Cyphocharax modestus
Cypho purpurescens,NA
Cyprinella galactura,Cyprinella galactura
Cyprinella lutrensis,Cyprinella lutrensis
Cyprinella spiloptera,Cyprinella spiloptera
Cyprinocirrhites polyactis,Cyprinocirrhites polyactis
Cyprinodon variegatus,Cyprinodon variegatus
Cyprinus carpio,Cyprinus carpio
Cypselurus brevipinnis,Prognichthys brevipinnis
Cypselurus comatus,Cypselurus comatus
Cypselurus hexazona,Cypselurus hexazona
Cypselurus katoptron,Cheilopogon katoptron
Cypselurus naresii,Cypselurus naresii
Cypselurus oligolepis,Cypselurus oligolepis
Cypselurus poecilopterus,Cypselurus poecilopterus
Cypselurus,NA
Cyttopsis cypho,Cyttopsis cypho
Cyttopsis rosea,Cyttopsis rosea
Cyttopsis roseus,Cyttopsis rosea
Cyttus australis,Cyttus australis
Cyttus hololepis,Zenion hololepis
Cyttus novaezealandiae,Cyttus novaezealandiae
Cyttus roseus,Cyttopsis rosea
Cyttus traversi,Cyttus traversi
Dacodraco hunteri,Dacodraco hunteri
Dactylophora nigricans,Dactylophora nigricans
Dactyloptena macracantha,Dactyloptena macracantha
Dactyloptena orientalis,Dactyloptena orientalis
Dactyloptena papilio,Dactyloptena papilio
Dactyloptena peterseni,Dactyloptena peterseni
Dactyloptena,NA
Dactyloptena,NA
Dactylopterus,NA
Dactylopterus volitans,Dactylopterus volitans
Dactylopus dactylopus,Dactylopus dactylopus
Dactyloscopidae,NA
Dactyloscopus,NA
Dactyloscopus tridigitatus,Dactyloscopus tridigitatus
Daicocus peterseni,Dactyloptena peterseni
Dalatias licha,Dalatias licha
Dalophis imberbis,Dalophis imberbis
Dannevigia tusca,Dannevigia tusca
Dascyllus aruanus,Dascyllus aruanus
Dascyllus carneus,Dascyllus carneus
Dascyllus flavicaudus,Dascyllus flavicaudus
Dascyllus melanurus,Dascyllus melanurus
Dascyllus reticulatus,Dascyllus reticulatus
Dascyllus trimaculatus,Dascyllus trimaculatus
Dasyatidae,NA
Dasyatis,NA
Dasyatis acutirostra,Telatrygon acutirostra
Dasyatis akajei,Hemitrygon akajei
Dasyatis americana,Hypanus americanus
Dasyatis annotata,Neotrygon annotata
Dasyatis bennettii,Hemitrygon bennettii
Dasyatis brevicaudata,Bathytoshia brevicaudata
Dasyatis brevicaudatus,Bathytoshia brevicaudata
Dasyatis centroura,Bathytoshia centroura
Dasyatis guttata,Hypanus guttatus
Dasyatis hypostigma,Dasyatis hypostigma
Dasyatis kuhlii,Neotrygon kuhlii
Dasyatis lata,Bathytoshia lata
Dasyatis leylandi,Neotrygon leylandi
Dasyatis pastinaca,Dasyatis pastinaca
Dasyatis sabina,Hypanus sabinus
Dasyatis say,Hypanus say
Dasyatis,NA
Dasyatis thetidis,Dasyatis thetidis
Dasyatis tortonesei,Dasyatis tortonesei
Dasyatis ushiei,Dasyatis ushiei
Dasyatis zugei,Telatrygon zugei
Dasycottus setiger,Dasycottus setiger
Deania calcea,Deania calcea
Deania profundorum,Deania profundorum
Deania quadrispinosa,Deania quadrispinosa
Decapterus,NA
Decapterus koheru,Decapterus koheru
Decapterus kurroides,Decapterus kurroides
Decapterus macarellus,Decapterus macarellus
Decapterus macrosoma,Decapterus macrosoma
Decapterus maruadsi,Decapterus maruadsi
Decapterus muroadsi,Decapterus muroadsi
Decapterus punctatus,Decapterus punctatus
Decapterus russelli,Decapterus russelli
Decapterus russellii,Decapterus russelli
Decapterus,NA
Decapterus,NA
Decapterus tabl,Decapterus tabl
Decodon puellaris,Decodon puellaris
Delolepis gigantea,Cryptacanthodes giganteus
Deltentosteus quadrimaculatus,Deltentosteus quadrimaculatus
Dendrochirus bellus,Dendrochirus bellus
Dendrochirus brachypterus,Dendrochirus brachypterus
Dendrochirus zebra,Dendrochirus zebra
Dendrochirus,NA
Dentex abei,Dentex abei
Dentex dentex,Dentex dentex
Dentex gibbosus,Dentex gibbosus
Dentex macrophtalmus,Dentex macrophthalmus
Dentex macrophthalmus,Dentex macrophthalmus
Dentex,NA
Dentex,NA
Dentex tumifrons,Dentex tumifrons
Derichthyidae,NA
Derichthys,NA
Derichthys serpentinus,Derichthys serpentinus
Dermatolepis inermis,Dermatolepis inermis
Desmodema polystictum,Desmodema polystictum
Dexillichthys muelleri,Dexillus muelleri
Diademichthys lineatus,Diademichthys lineatus
Diagramma labiosum,Diagramma labiosum
Diagramma pictum,Diagramma pictum
Diaphus,NA
Diaphus aliciae,Diaphus aliciae
Diaphus anderseni,Diaphus anderseni
Diaphus arabicus,Diaphus arabicus
Diaphus bertelseni,Diaphus bertelseni
Diaphus brachycephalus,Diaphus brachycephalus
Diaphus chrysorhynchus,Diaphus chrysorhynchus
Diaphus coeruleus,Diaphus coeruleus
Diaphus danae,Diaphus danae
Diaphus drachmanni,Diaphus drachmanni
Diaphus dumerili,Diaphus dumerilii
Diaphus dumerilii,Diaphus dumerilii
Diaphus effulgens,Diaphus effulgens
Diaphus elucens,Diaphus perspicillatus
Diaphus fragilis,Diaphus fragilis
Diaphus garmani,Diaphus garmani
Diaphus holti,Diaphus holti
Diaphus hudsoni,Diaphus hudsoni
Diaphus kapalae,Diaphus kapalae
Diaphus knappi,Diaphus knappi
Diaphus lobatus,Diaphus lobatus
Diaphus lucidus,Diaphus lucidus
Diaphus luetkeni,Diaphus luetkeni
Diaphus meadi,Diaphus meadi
Diaphus metoplocampus,NA
Diaphus metopoclampus,Diaphus metopoclampus
Diaphus mollis,Diaphus mollis
Diaphus nielseni,Diaphus nielseni
Diaphus ostenfeldi,Diaphus ostenfeldi
Diaphus pacificus,Diaphus pacificus
Diaphus parri,Diaphus parri
Diaphus perspicillatus,Diaphus perspicillatus
Diaphus problematicus,Diaphus problematicus
Diaphus rafinesquei,Diaphus rafinesquii
Diaphus regani,Diaphus regani
Diaphus schmidti,Diaphus schmidti
Diaphus signatus,Diaphus signatus
Diaphus,NA
Diaphus splendidus,Diaphus splendidus
Diaphus suborbitalis,Diaphus suborbitalis
Diaphus subtilis,Diaphus subtilis
Diaphus termophilus,Diaphus termophilus
Diaphus thermophilus,Diaphus termophilus
Diaphus theta,Diaphus theta
Diaphus thiollierei,Diaphus thiollierei
Diaphus thiollieri,Diaphus thiollierei
Diaphus vanhoeffeni,Diaphus vanhoeffeni
Diaphus watasei,Diaphus watasei
Diapterus rhombeus,Diapterus rhombeus
Diastobranchus capensis,Diastobranchus capensis
Dibranchus,NA
Dibranchus atlanticus,Dibranchus atlanticus
Dicentrarchus labrax,Dicentrarchus labrax
Dicentrarchus punctatus,Dicentrarchus punctatus
Diceratias bispinosus,Diceratias bispinosus
Dicotylichthys punctulatus,Dicotylichthys punctulatus
Dicrolene,NA
Dicrolene introniger,Dicrolene introniger
Dicrolene intronigra,Dicrolene introniger
Dicrolene,NA
Dinolestes lewini,Dinolestes lewini
Diodon,NA
Diodon holocanthus,Diodon holocanthus
Diodon hystrix,Diodon hystrix
Diodon liturosus,Diodon liturosus
Diodon nicthemerus,Diodon nicthemerus
Diodon,NA
Diodontidae,NA
Diogenichthys atlanticus,Diogenichthys atlanticus
Diogenichthys laternatus,Diogenichthys laternatus
Diogenichthys panurgus,Diogenichthys panurgus
Diogenichthys,NA
Diplacanthopoma brachysoma,Diplacanthopoma brachysoma
Diplacanthopoma,NA
Diplecogaster bimaculata,Diplecogaster bimaculata
Diplectrum bivittatum,Diplectrum bivittatum
Diplectrum formosum,Diplectrum formosum
Diplectrum radiale,Diplectrum radiale
Diplectrum,NA
Diplodus annularis,Diplodus annularis
Diplodus argenteus,Diplodus argenteus
Diplodus caudimacula,Diplodus caudimacula
Diplodus cervinus,Diplodus cervinus
Diplodus holbrooki,Diplodus holbrookii
Diplodus holbrookii,Diplodus holbrookii
Diplodus puntazzo,Diplodus puntazzo
Diplodus sargus,Diplodus sargus
Diplodus,NA
Diplodus vulgaris,Diplodus vulgaris
Diplogrammus pauciradiatus,Diplogrammus pauciradiatus
Diplolychnus lucifer,Borostomias mononema
Diplolychnus mononema,Borostomias mononema
Diplophos maderensis,Manducus maderensis
Diplophos orientalis,Diplophos orientalis
Diplophos rebainsi,Diplophos rebainsi
Diplophos,NA
Diplophos taenia,Diplophos taenia
Diploprion bifasciatum,Diploprion bifasciatum
Diplospinus,NA
Diplospinus multistriatus,Diplospinus multistriatus
Diplospinus,NA
Diproctacanthus xanthurus,Diproctacanthus xanthurus
Dipterygonotus balteatus,Dipterygonotus balteatus
Dipturus australis,Dentiraja australis
Dipturus batis,Dipturus batis
Dipturus cerva,Dentiraja cerva
Dipturus flavirostris,Dipturus flavirostris
Dipturus gudgeri,Dipturus gudgeri
Dipturus innominatus,Dipturus innominatus
Dipturus kwangtungensis,Dipturus kwangtungensis
Dipturus laevis,Dipturus laevis
Dipturus lemprieri,Dentiraja lemprieri
Dipturus nasutus,Zearaja nasuta
Dipturus oxyrinchus,Dipturus oxyrinchus
Dipturus,NA
Dipturus,NA
Dipturus,NA
Dipturus,NA
Dipturus,NA
Dipturus,NA
Dipturus tengu,Dipturus tengu
Dipturus whitleyi,Spiniraja whitleyi
Diretmichthys parini,Diretmichthys parini
Diretmoides parini,Diretmichthys parini
Diretmus,NA
Diretmus argenteus,Diretmus argenteus
Diretmus,NA
Dischistodus chrysopoecilus,Dischistodus chrysopoecilus
Dischistodus fasciatus,Dischistodus fasciatus
Dischistodus melanotus,Dischistodus melanotus
Dischistodus perscipillatus,NA
Dischistodus perspicilatus,NA
Dischistodus perspicillatus,Dischistodus perspicillatus
Dischistodus prosopotaenia,Dischistodus prosopotaenia
Dischistodus pseudochrysopoecilus,Dischistodus pseudochrysopoecilus
Discopyge tschudii,Discopyge tschudii
Dissostichus eleginoides,Dissostichus eleginoides
Dissostichus mawsoni,Dissostichus mawsoni
Ditropichthys storeri,Ditropichthys storeri
Doederleinia berycoides,Doederleinia berycoides
Dolicholagus longirostris,Dolicholagus longirostris
Dolichopteryx,NA
Dolichopteryx longipes,Dolichopteryx longipes
Dolichopteryx,NA
Dolloidraco longedorsalis,Dolloidraco longedorsalis
Dolopichthys,NA
Dolopichthys,NA
Doratonotus megalepis,Doratonotus megalepis
Dorosoma cepedianum,Dorosoma cepedianum
Doryichthys boaja,Doryichthys boaja
Dotalabrus alleni,Dotalabrus alleni
Dotalabrus aurantiacus,Dotalabrus aurantiacus
Drepane longimana,Drepane longimana
Drepane punctata,Drepane punctata
Dules auriga,Dules auriga
Dussumieria elopsoides,Dussumieria elopsoides
Dussumieria,NA
Dysalotus,NA
Dysalotus alcocki,Dysalotus alcocki
Dysomma anguillare,Dysomma anguillare
Dysommina rugosa,Dysommina rugosa
Ebinania,NA
Echelus myrus,Echelus myrus
Echelus pachyrhynchus,Echelus pachyrhynchus
Echeneidae,NA
Echeneis naucrates,Echeneis naucrates
Echeneis neucratoides,Echeneis neucratoides
Echeneis,NA
Echidna catenata,Echidna catenata
Echidna nebulosa,Echidna nebulosa
Echiichthys vipera,Echiichthys vipera
Echinomacrurus mollis,Echinomacrurus mollis
Echinophryne mitchellii,Echinophryne mitchellii
Echinorhinus brucus,Echinorhinus brucus
Echinorhinus cookei,Echinorhinus cookei
Echiodon cryomargarites,Echiodon cryomargarites
Echiodon drummondi,Echiodon drummondii
Echiodon,NA
Echiophis,NA
Echiophis intertinctus,Echiophis intertinctus
Echiophis punctifer,Echiophis punctifer
Echiostoma barbatum,Echiostoma barbatum
Ecsenius bicolor,Ecsenius bicolor
Ectreposebastes,NA
Ectreposebastes imus,Ectreposebastes imus
