parsed,lcvp
Cliffortia atrata,Cliffortia atrata Weim.
Cliffortia falcata,Cliffortia falcata L.f.
Cliffortia ferruginea,Cliffortia ferruginea L.f.
Cliffortia filifolia,Cliffortia filifolia L.f.
Cliffortia glauca,Cliffortia glauca Weim.
Cliffortia obcordata,Cliffortia obcordata L.f.
Cliffortia polygonifolia,Cliffortia polygonifolia L.
Cliffortia stricta,Cliffortia stricta Weim.
Cliffortia subsetacea,Cliffortia subsetacea (Eckl. & Zeyh.) Diels ex Bolus & Wolley-Dod
Cliococca selaginoides,Cliococca selaginoides (Lam.) C.M.Rogers & Mildner
Clitoria nana,Clitoria nana Benth.
Clusia pratensis,Clusia minor L.
Clutia alaternoides,Clutia alaternoides L.
Clutia ericoides,Clutia ericoides Thunb.
Clutia polygonoides,Clutia polygonoides L.
Cnesmocarpon dasyantha,Cnesmocarpon dasyantha (Radlk.) Adema
Cnidium dubium,Kadenia dubia (Schkuhr) Lavrova & V.N.Tikhom.
Coccoloba,
Coccoloba coronata,Coccoloba coronata Jacq.
Coccoloba manzinellensis,
Coccoloba padiformis,Coccoloba padiformis Meisn.
Cochlearia officinalis,Cochlearia officinalis L.
Coeloglossum viride,Dactylorhiza viridis (L.) R.M.Bateman & al.
Coelostegia griffithii,Coelostegia griffithii Benth.
Coffea,
Coffea arabica,Coffea arabica L.
Cojoba rufescens,Cojoba rufescens (Benth.) Britton & Rose
Colchicum autumnale,Colchicum autumnale L.
Coleonema album,Coleonema album (Thunb.) Bartl. & H.L.Wendl.
Collinsia parviflora,Collinsia parviflora Douglas ex Lindl.
Collomia,
Collomia linearis,Collomia linearis (Cav.) Nutt.
Colubrina glandulosa,Colubrina glandulosa G.Perkins
Comandra umbellata,Comandra umbellata (L.) Nutt.
Comarum palustre,Comarum palustre L.
Commelina erecta,Commelina erecta L.
Commersonia bartramia,Commersonia bartramia (L.) Merr.
Conacarpus erectus,
Connarus conchocarpus,Connarus conchocarpus F.Muell.
Connarus suberosus,Connarus suberosus Planch.
Conostegia,
Conostegia apiculata,Conostegia apiculata Wurdack
Conostegia bracteata,Conostegia bracteata Triana
Conostegia cinnamomea,Conostegia cinnamomea (Beurl.) Wurdack
Conostegia montana,Conostegia montana (Sw.) D.Don ex DC.
Convolvulus,
Convolvulus arvensis,Convolvulus arvensis L.
Convolvulus equitans,Convolvulus equitans Benth.
Conyza canadensis,Conyza canadensis (L.) Cronquist
Copaifera langsdorffii,Copaifera langsdorffii Desf.
Copaifera protium,
Cordia alliodora,Cordia alliodora (Ruiz & Pav.) Oken
Cordia americana,Cordia americana (L.) Gottschling & J.S.Mill.
Cordia bicolor,Cordia bicolor DC.
Cordia cylindrostachya,Varronia cylindrostachya Ruiz & Pav.
Cordia cymosa,Cordia cymosa (Donn.Sm.) Standl.
Cordia dichotoma,Cordia dichotoma G.Forst.
Cordia ecalyculata,Cordia ecalyculata Vell.
Cordia lasiocalyx,Cordia lasiocalyx Pittier
Cordia obliqua,Cordia obliqua Willd.
Cordia panamensis,Cordia panamensis L.Riley
Cordia sellowiana,Cordia sellowiana Cham.
Cordia superba,Cordia superba Cham.
Cordia trichotoma,Cordia trichotoma (Vell.) Arráb. ex Steud.
Cordia wallichii,Cordia lanata Kunth
Coreopsis grandiflora,Bidens sweetiana (Hogg ex Sweet) Banfi & al.
Cornus alternifolia,Cornus alternifolia L.f.
Cornus drummondii,Cornus drummondii C.A.Mey.
Cornus florida,Cornus florida L.
Cornus nuttallii,Cornus nuttallii Audubon ex Torr. & A.Gray
Cornus racemosa,Cornus racemosa Lam.
Cornus rugosa,Cornus rugosa Lam.
Cornus stolonifera,Cornus sericea L.
Coronilla minima,Coronilla minima L.
Coronilla varia,Securigera varia (L.) Lassen
Corydalis conorhiza,
Corydalis micrantha,Corydalis micrantha A.Gray ex Coult.
Corylus americana,Corylus americana Walter
Corylus cornuta,Corylus cornuta Marshall
Corymbium africanum,Corymbium africanum L.
Corymbium glabrum,Corymbium glabrum L.
Corynephorus canescens,Corynephorus canescens (L.) P.Beauv.
Corynocarpus cribbianus,Corynocarpus cribbianus (F.M.Bailey) L.S.Sm.
Couepia grandiflora,Couepia grandiflora (Mart. & Zucc.) Benth. ex Hook.f.
Couepia platycalyx,Cordillera platycalyx (Cuatrec.) Sothers & Prance
Couratari,
Couratari schweifer,
Coussapoa parviceps,Coussapoa parviceps Standl.
Coussarea contracta,Coussarea contracta (Walp.) Benth. & Hook.f. ex Müll.Arg.
Coussarea curvigemmia,
Coussarea hydrangeifolia,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.
Coutarea hexandra,Coutarea hexandra (Jacq.) K.Schum.
Crassula coccinea,Crassula coccinea L.
Crassula cymosa,Crassula cymosa P.J.Bergius
Crassula fascicularis,Crassula fascicularis Lam.
Crassula flava,Crassula flava L.
Crassula nudicaulis,Crassula nudicaulis L.
Crassula subulata,Crassula subulata L.
Crataegus,
Crataegus monogyna,Crataegus monogyna Jacq.
Crateva religiosa,Crateva religiosa G.Forst.
Cratoxylum arborescens,Cratoxylum arborescens (Vahl) Blume
Cratoxylum cochinchinense,Cratoxylum cochinchinense (Lour.) Blume
Cratoxylum formosum,Cratoxylum formosum (Jack) Benth. & Hook.f. ex Dyer
Cratoxylum maingayi,Cratoxylum maingayi Dyer
Cremastosperma panamense,Cremastosperma panamense Maas
Crepis acuminata,Crepis acuminata Nutt.
Crepis alpestris,Crepis alpestris (Jacq.) Tausch
Crepis aurea,Crepis aurea (L.) Cass.
Crepis biennis,Crepis biennis L.
Crepis bocconei,Crepis pontana (L.) DallaTorre
Crepis mollis,Crepis mollis (Jacq.) Asch.
Crepis paludosa,Crepis paludosa (L.) Moench
Crinum americanum,Crinum americanum L.
Critoniopsis occidentalis,Critoniopsis occidentalis (Cuatrec.) H.Rob.
Crocus albiflorus,Crocus vernus (L.) Hill
Crossopetalum parviflorum,Crossopetalum parviflorum (Hemsl.) Lundell
Crotalaria,
Crotalaria pumila,Crotalaria pumila Ortega
Crotalaria tweediana,
Croton,
Croton argyratus,Croton argyratus Blume
Croton billbergianus,Croton billbergianus Müll.Arg.
Croton floribundus,Croton floribundus Spreng.
Croton glandulosus,Croton glandulosus L.
Croton insularis,Croton insularis Baill.
Croton laevifolius,Croton laevifolius Hook.f.
Croton malabaricus,Croton malabaricus Bedd.
Croton monanthogynus,Croton monanthogynus Michx.
Croton piptocalyx,Croton piptocalyx Müll.Arg.
Croton punctatus,Croton punctatus Jacq.
Croton texensis,Croton texensis (Klotzsch) Müll.Arg.
Croton triacros,Croton triacros F.Muell.
Croton urucurana,Croton urucurana Baill.
Crudia curtisii,
Cryptantha,
Cryptantha cinerea,Oreocarya suffruticosa (Torr.) Greene
Cryptantha crassisepala,Cryptantha crassisepala (Torr. & A.Gray) Greene
Cryptantha crassisepila,
Cryptantha micrantha,Eremocarya micrantha (Torr.) Greene
Cryptantha minima,Cryptantha minima Rydb.
Crypteronia griffithii,Crypteronia griffithii C.B.Clarke
Cryptocarya angulata,Cryptocarya angulata C.T.White
Cryptocarya aschersoniana,Cryptocarya aschersoniana Mez
Cryptocarya bellendenkerana,
Cryptocarya burckiana,
Cryptocarya clarksoniana,Cryptocarya clarksoniana B.Hyland
Cryptocarya cocosoides,Cryptocarya cocosoides B.Hyland
Cryptocarya corrugata,Cryptocarya corrugata C.T.White & W.D.Francis
Cryptocarya cunninghamii,Cryptocarya cunninghamii Meisn.
Cryptocarya densiflora,Cryptocarya densiflora Blume
Cryptocarya endiandrifolia,Cryptocarya endiandrifolia Kosterm.
Cryptocarya ferrea,Cryptocarya ferrea Blume
Cryptocarya glaucocarpa,Cryptocarya glaucocarpa B.Hyland
Cryptocarya grandis,Cryptocarya grandis B.Hyland
Cryptocarya griffithiana,Cryptocarya griffithiana Wight
Cryptocarya hypospodia,Cryptocarya hypospodia F.Muell.
Cryptocarya infectoria,Cryptocarya infectoria (Blume) Miq.
Cryptocarya kurzii,Cryptocarya kurzii Hook.f.
Cryptocarya leucophylla,Cryptocarya leucophylla B.Hyland
Cryptocarya lividula,Cryptocarya lividula B.Hyland
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana F.Muell.
Cryptocarya melanocarpa,Cryptocarya melanocarpa B.Hyland
Cryptocarya murrayi,Cryptocarya murrayi F.Muell.
Cryptocarya oblata,Cryptocarya oblata F.M.Bailey
Cryptocarya onoprienkoana,Cryptocarya onoprienkoana B.Hyland
Cryptocarya pleurosperma,Cryptocarya pleurosperma C.T.White & W.D.Francis
Cryptocarya putida,Cryptocarya putida B.Hyland
Cryptocarya rugulosa,Cryptocarya rugulosa Hook.f.
Cryptocarya saccharata,Cryptocarya saccharata B.Hyland
Cryptocarya scortechinii,Cryptocarya ferrea Blume
Cryptocarya smaragdina,Cryptocarya smaragdina B.Hyland
Cryptocarya triplinervis,Cryptocarya triplinervis R.Br.
Cryptocarya vulgaris,Cryptocarya vulgaris B.Hyland
Cryptocarya wightiana,Cryptocarya wightiana Thwaites
Ctenolophon parvifolius,Ctenolophon parvifolius Oliv.
Cupania,
Cupania cinerea,Cupania cinerea Poepp.
Cupania latifolia,Cupania latifolia Kunth
Cupania rufescens,Cupania rufescens Triana & Planch.
Cupania scrobiculata,Cupania scrobiculata Rich.
Cupania seemannii,Cupania sylvatica Seem.
Cupania sylvatica,Cupania sylvatica Seem.
Cupania tenuivalvis,Cupania tenuivalvis Radlk.
Cupania vernalis,Cupania vernalis Cambess.
Cupaniopsis flagelliformis,Cupaniopsis flagelliformis (F.M.Bailey) Radlk.
Cupaniopsis foveolata,Cupaniopsis foveolata (F.Muell.) Radlk.
Cuphea,
Cuphea glutinosa,Cuphea glutinosa Cham. & Schltdl.
Curatella americana,Curatella americana L.
Cuscuta,
Cuscuta coryli,Cuscuta coryli Engelm.
Cuscuta glomerata,Cuscuta glomerata Choisy
Cuscuta indecora,Cuscuta indecora Choisy
Cyathea,
Cyathea caracasana,Cyathea caracasana (Klotzsch) Domin
Cyathea cooperi,Cyathea cooperi (Hook. ex F.Muell.) Domin
Cyathea halonata,Cyathea pallescens (Sodiro) Domin
Cyathea multiflora,Cyathea multiflora Sm.
Cyathea petiolata,Cyathea petiolata (Hook.) R.M.Tryon
Cyathea planadae,Cyathea planadae N.C.Arens & A.R.Sm.
Cyathea ulei,Cyathea subtropica Domin
Cyathocalyx pruniferus,Drepananthus pruniferus Maingay ex Hook.f. & Thomson
Cyathocalyx ramuliflorus,Drepananthus ramuliflorus Maingay ex Hook.f. & Thomson
Cyathocalyx zeylanicus,Cyathocalyx zeylanicus Champ. ex Hook.f. & Thomson
Cybistax antisyphilitica,Cybistax antisyphilitica (Mart.) Mart.
Cyclophyllum coprosmoides,Cyclophyllum coprosmoides (F.Muell.) S.T.Reynolds & R.J.F.Hend.
Cyclophyllum protractum,Cyclophyllum protractum S.T.Reynolds & R.J.F.Hend.
Cyclophyllum rostellatum,Cyclophyllum rostellatum S.T.Reynolds & R.J.F.Hend.
Cylindropuntia imbricata,Cylindropuntia imbricata (Haw.) F.M.Knuth
Cymbopetalum lanugipetalum,Cymbopetalum lanugipetalum Schery
Cymbopogon marginatus,Cymbopogon marginatus (Steud.) Stapf ex BurttDavy
Cymodocea,
Cymodocea serrulata,Cymodocea serrulata (R.Br.) Asch. & Magnus
Cymopterus acaulis,Cymopterus glomeratus (Nutt.) Raf.
Cymopterus montanus,Vesper montanus (Nutt. ex Torr. & A.Gray) R.L.Hartm. & G.L.Nesom
Cynanchum laeve,Cynanchum laeve (Michx.) Pers.
Cynanchum obtusifolium,Cynanchum obtusifolium L.f.
Cynodon dactylon,Cynodon dactylon (L.) Pers.
Cynometra malaccensis,Cynometra malaccensis Meeuwen
Cyperaceae,
Cyperus,
Cyperus esculentus,Cyperus esculentus L.
Cyperus lupulinus,Cyperus lupulinus (Spreng.) Marcks
Cyperus reflexus,Cyperus reflexus Vahl
Cyperus schweinitzii,Cyperus schweinitzii Torr.
Cyperus thunbergii,Cyperus thunbergii Vahl
Cyphia linarioides,Cyphia linarioides C.Presl
Cyphomandra hartwegii,Solanum circinatum Bohs
Dacryodes costata,Dacryodes costata (A.W.Benn.) H.J.Lam
Dacryodes incurvata,Dacryodes incurvata (Engl.) H.J.Lam
Dacryodes laxa,Dacryodes laxa (A.W.Benn.) H.J.Lam
Dacryodes longifolia,Dacryodes longifolia (King) H.J.Lam
Dacryodes nervosa,Dacryodes nervosa (H.J.Lam) Leenh.
Dacryodes puberula,Dacryodes puberula (A.W.Benn.) H.J.Lam
Dacryodes rostrata,Dacryodes rostrata (Blume) H.J.Lam
Dacryodes rubiginosa,Dacryodes rubiginosa (A.W.Benn.) H.J.Lam
Dacryodes rugosa,Dacryodes rugosa (Blume) H.J.Lam
Dactylis glomerata,Dactylis glomerata L.
Dactylorhiza maculata,Dactylorhiza maculata (L.) Soó
Dalbergia frutescens,Dalbergia frutescens (Vell.) Britton
Dalbergia lanceolata,Dalbergia lanceolaria L.f.
Dalbergia latifolia,Dalbergia latifolia Roxb.
Dalbergia miscolobium,Dalbergia miscolobium Benth.
Dalea,
Dalea brachystachya,Dalea brachystachys A.Gray
Dalea brachystachys,Dalea brachystachys A.Gray
Dalea candida,Dalea candida Willd.
Dalea formosa,Dalea formosa Torr.
Dalea jamesii,Dalea jamesii (Torr.) Torr. & A.Gray
Dalea multiflora,Dalea multiflora (Nutt.) Shinners
Dalea nana,Dalea nana A.Gray
Dalea purpurea,Dalea purpurea Vent.
Damburneya umbrosa,Damburneya umbrosa (Kunth) Trofimov
Danthonia cirrata,Danthonia cirrata Hack. & Arechav.
Danthonia decumbens,Danthonia decumbens (L.) DC.
Daphnandra repandula,Daphnandra repandula (F.Muell.) F.Muell.
Daphne striata,Daphne striata Tratt.
Daphnopsis,
Daphnopsis anomala,Daphnopsis anomala (Kunth) Domke
Darlingia darlingiana,Darlingia darlingiana (F.Muell.) L.A.S.Johnson
Dasyochloa pulchella,Munroa pulchella (Kunth) Amarilla
Dasyochloa pulchellum,
Dasyphyllum brasiliense,Dasyphyllum brasiliense (Spreng.) Cabrera
Dasyphyllum spinescens,Dasyphyllum spinescens (Less.) Cabrera
Daucus carota,Daucus carota L.
Davidsonia pruriens,Davidsonia pruriens F.Muell.
Decaspermum fruticosum,Decaspermum fruticosum J.R.Forst. & G.Forst.
Decaspermum humile,Decaspermum humile (Sweet ex G.Don) A.J.Scott
Dehaasia cuneata,Dehaasia cuneata (Blume) Blume
Dehaasia incrassata,Dehaasia incrassata (Jack) Kosterm.
Dehaasia longipetiolata,Dehaasia longipetiolata Kosterm.
Dehaasia polyneura,Dehaasia polyneura (Miq.) Kosterm.
Delphinium,
Delphinium carolinianum,Delphinium carolinianum Walter
Delphinium wootonii,Delphinium wootonii Rydb.
Dendrocnide corallodesme,Dendrocnide corallodesme (Lauterb.) Chew
Dendrocnide photinophylla,
Dendrocnide sinuata,Dendrocnide sinuata (Blume) Chew
Dendropanax arboreus,Dendropanax arboreus (L.) Decne. & Planch.
Dendropanax cuneatum,
Dendropanax cuneatus,Dendropanax cuneatus (DC.) Decne. & Planch.
Denhamia celastroides,Denhamia celastroides (F.Muell.) Jessup
Denhamia viridissima,Denhamia viridissima F.M.Bailey & F.Muell. ex F.M.Bailey
Deplanchea bancana,Deplanchea bancana (Scheff.) Steenis
Deschampsia alpina,Deschampsia caespitosa (L.) P.Beauv.
Deschampsia caespitosa,Deschampsia caespitosa (L.) P.Beauv.
Deschampsia cespitosa,
Deschampsia flexuosa,Deschampsia flexuosa (L.) Trin.
Descurainia,
Descurainia incana,Descurainia incana (Bernh. ex Fisch. & C.A.Mey.) Dorn
Descurainia pinnata,Descurainia pinnata (Walter) Britton
Desmanthus illinoensis,Desmanthus illinoensis (Michx.) MacMill.
Desmanthus tatuhyensis,Desmanthus tatuhyensis Hoehne
Desmodium canescens,Desmodium canescens (L.) DC.
Desmodium illinoense,Desmodium illinoense A.Gray
Desmodium incanum,Desmodium incanum (Sw.) DC.
Desmodium paniculatum,Desmodium paniculatum (L.) DC.
Desmodium sessilifolium,Desmodium sessilifolium Torr. & A.Gray
Desmopsis panamensis,Desmopsis panamensis (B.L.Rob.) Saff.
Dialium maingayi,Dialium platysepalum Baker
Dialium platysepalum,Dialium platysepalum Baker
Dialium procerum,Dialium procerum (Steenis) Steyaert
Dialium wallichii,Dialium platysepalum Baker
Dianthus armeria,Dianthus armeria L.
Diapensia lapponica,Diapensia lapponica L.
Diastella divaricata,Diastella divaricata (P.J.Bergius) Rourke
Diatenopteryx sorbifolia,Diatenopteryx sorbifolia Radlk.
Dichanthelium acuminatum,Panicum acuminatum Sw.
Dichanthelium dichotomum,Panicum dichotomum L.
Dichanthelium oligosanthes,Panicum oligosanthes Schult.
Dichanthelium sabulorum,Panicum sabulorum Lam.
Dichapetalum gelonioides,Dichapetalum gelonioides (Roxb.) Engl.
Dichondra sericea,Dichondra sericea Sw.
Dicksonia sellowiana,Dicksonia sellowiana (C.Presl) Hook.
Didymopanax,
Didymopanax ocotea,
Diervilla lonicera,Diervilla lonicera Mill.
Digitalis purpurea,Digitalis purpurea L.
Digitaria cognata,Digitaria cognata (Roem. & Schult.) Pilg.
Digitaria ischaemum,Digitaria ischaemum (Schreb. ex Schweigg.) Muhl.
Digitaria sanguinalis,Digitaria sanguinalis (L.) Scop.
Dilatris corymbosa,Dilatris corymbosa P.J.Bergius
Dilatris pillansii,Dilatris pillansii W.F.Barker
Dillenia grandifolia,Dillenia grandifolia Wall.
Dillenia reticulata,Dillenia reticulata King
Dillenia sumatrana,Dillenia sumatrana Miq.
Dilodendron bipinnatum,Dilodendron bipinnatum Radlk.
Dimocarpus longan,Dimocarpus longan Lour.
Dimorphandra mollis,Dimorphandra mollis Benth.
Dimorphocalyx lawianus,Dimorphocalyx glabellus Thwaites
Dimorphocarpa wislizeni,Dimorphocarpa wislizeni (Engelm.) Rollins
Dimorphotheca nudicaulis,Dimorphotheca nudicaulis (L.) DC.
Dinosperma erythrococcum,
Dinosperma melanophloium,
Diodia teres,Hexasepalum teres (Walter) J.H.Kirkbr. & Delprete
Diodia virginiana,Diodia virginiana L.
Diosma hirsuta,Diosma hirsuta L.
Diosma oppositifolia,Diosma oppositifolia L.
Diospyros,
Diospyros adenophora,Diospyros adenophora Bakh.
Diospyros andamanica,Diospyros andamanica (Kurz) Bakh.
Diospyros apiculata,Diospyros apiculata Hiern
Diospyros areolata,Diospyros areolata King & Gamble
Diospyros argentea,Diospyros argentea Griff.
Diospyros artanthifolia,Diospyros artanthifolia Mart. ex Miq.
Diospyros assimilis,Diospyros ebenum J.Koenig ex Retz.
Diospyros bourdillonii,Diospyros bourdillonii Brandis
Diospyros burchellii,Diospyros burchellii Hiern
Diospyros buxifolia,Diospyros buxifolia (Blume) Hiern
Diospyros cauliflora,Diospyros cauliflora Blume
Diospyros cupulosa,Diospyros cupulosa (F.Muell.) F.Muell.
Diospyros demona,
Diospyros diepenhorstii,Diospyros diepenhorstii Miq.
Diospyros ghatensis,Diospyros ghatensis B.R.Ramesh & DeFranceschi
Diospyros glabra,Diospyros glabra (L.) DeWinter
Diospyros hebecarpa,Diospyros hebecarpa A.Cunn. ex Benth.
Diospyros inconstans,Diospyros inconstans Jacq.
Diospyros lancifolia,
Diospyros latisepala,Diospyros latisepala Ridl.
Diospyros maingayi,Diospyros maingayi (Hiern) Bakh.
Diospyros montana,Diospyros montana Roxb.
Diospyros nutans,Diospyros nutans King & Gamble
Diospyros penangiana,Diospyros penangiana King & Gamble
Diospyros pendula,Diospyros pendula Hasselt ex Hassk.
Diospyros pentamera,Diospyros pentamera (F.Muell.) Woods & F.Muell.
Diospyros pruriens,Diospyros pruriens Dalzell
Diospyros pyrrhocarpa,Diospyros pyrrhocarpa Miq.
Diospyros rufa,Diospyros rufa King & Gamble
Diospyros scortechinii,Diospyros scortechinii King & Gamble
Diospyros singaporensis,Diospyros singaporensis Bakh.
Diospyros sumatrana,Diospyros sumatrana Miq.
Diospyros sylvatica,Diospyros sylvatica Roxb.
Diospyros venosa,Diospyros venosa Wall. ex A.DC.
Diospyros wallichii,Diospyros wallichii King & Gamble
Diphasiastrum alpinum,Diphasiastrum alpinum (L.) Holub
Diploglottis bernieana,Diploglottis bernieana S.T.Reynolds
Diploglottis bracteata,Diploglottis bracteata Leenh.
Diploglottis diphyllostegia,Diploglottis diphyllostegia (F.Muell.) F.M.Bailey
Diplospora lasiantha,Diplospora lasiantha Ridl.
Diplospora malaccense,Diplospora malaccensis Hook.f.
Dipterix alata,
Dipterocarpus cornutus,Dipterocarpus cornutus Dyer
Dipterocarpus costulatus,Dipterocarpus costulatus Slooten
Dipterocarpus crinitus,Dipterocarpus crinitus Dyer
Dipterocarpus indicus,Dipterocarpus indicus Bedd.
Dipterocarpus kunstleri,Dipterocarpus kunstleri King
Dipterocarpus sublamellatus,Dipterocarpus sublamellatus Foxw.
Dipteryx oleifera,Dipteryx oleifera Benth.
Dipteryx polyphylla,Dipteryx polyphylla Huber
Discophora guianensis,Discophora guianensis Miers
Disparago anomala,Disparago anomala Schltr. ex Levyns
Disparago tortilis,Disparago tortilis (DC.) Sch.Bip.
Distephanus,
Distephanus longispina,
Dithyrea wislizenii,
Doronicum grandiflorum,Doronicum grandiflorum Lam.
Dorycnium hirsutum,Lotus hirsutus L.
Dorycnium pentaphyllum,Lotus dorycnium L.
Doryphora aromatica,Doryphora aromatica (F.M.Bailey) L.S.Sm.
Draba,
Draba aizoides,Draba aizoides L.
Draba corymbosa,Draba corymbosa R.Br. ex DC.
Draba cuneifolia,Tomostima cuneifolia (Nutt. ex Torr. & A.Gray) Al-Shehbaz & al.
Draba incana,Draba incana L.
Draba lactea,Draba lactea Adams
Draba micropetala,Draba micropetala Hook.
Draba nemorosa,Draba nemorosa L.
Draba norvegica,Draba norvegica Gunnerus
Draba reptans,Tomostima reptans (Lam.) Al-Shehbaz & al.
Draba subcapitata,Draba subcapitata Simmons
Dracaena brachystachys,Dracaena brachystachys Hook.f.
Dracaena elliptica,Dracaena elliptica Thunb.
Dracontomelon dao,Dracontomelon dao (Blanco) Merr. & Rolfe
Drimycarpus luridus,Drimycarpus luridus (Hook.f.) DingHou
Drimys brasiliensis,Drimys brasiliensis Miers
Drosanthemum candens,Drosanthemum candens (Haw.) Schwantes
Drosera,
Drosera aliciae,Drosera aliciae Raym.-Hamet
Drosera montana,Drosera montana A.St.-Hil.
Drosera trinervia,Drosera trinervia Spreng.
Dryadodaphne,
Dryas integrifolia,Dryas integrifolia Vahl
Dryas octopetala,Dryas octopetala L.
Drymaria glandulosa,Drymaria glandulosa Bartl.
Drypetes,
Drypetes acuminata,Drypetes acuminata P.I.Forst.
Drypetes confertiflora,Drypetes confertiflora (Hook.f.) Pax & K.Hoffm.
Drypetes elata,Drypetes venusta (Wight) Pax & K.Hoffm.
Drypetes kikir,Drypetes kikir AiryShaw
Drypetes laevis,Drypetes laevis (Miq.) Pax & K.Hoffm.
Drypetes longifolia,Drypetes longifolia (Blume) Pax & K.Hoffm.
Drypetes microphylla,Drypetes microphylla (Merr.) Pax & K.Hoffm.
Drypetes oblongifolia,Drypetes oblongifolia (Bedd.) AiryShaw
Drypetes pendula,Drypetes pendula Ridl.
Drypetes polyneura,Drypetes polyneura AiryShaw
Drypetes rhakodiskos,Drypetes rhakodiskos (Hassk.) Bakh.f.
Drypetes standleyi,Drypetes standleyi G.L.Webster
Duguetia,
Duguetia lanceolata,Duguetia lanceolata A.St.-Hil.
Dupontia fisheri,Dupontia fisheri R.Br.
Duranta vestita,Duranta vestita Cham.
Durio griffithii,Boschia griffithii Mast.
Durio oxleyanus,Durio oxleyanus Griff.
Durio singaporensis,Durio singaporensis Ridl.
Dussia,
Dussia lehmannii,Dussia lehmannii Harms
Dyera costulata,Dyera costulata (Miq.) Hook.f.
Dysoxylum,
Dysoxylum acutangulum,Dysoxylum acutangulum Miq.
Dysoxylum alliaceum,Dysoxylum alliaceum (Blume) Blume
Dysoxylum arborescens,Dysoxylum arborescens (Blume) Miq.
Dysoxylum carolinae,Dysoxylum carolinae Mabb.
Dysoxylum cauliflorum,Dysoxylum cauliflorum Hiern
Dysoxylum costulatum,Dysoxylum alliaceum (Blume) Blume
Dysoxylum flavescens,Dysoxylum flavescens Hiern
Dysoxylum gaudichaudianum,
Dysoxylum klanderi,Dysoxylum klanderi F.Muell.
Dysoxylum oppositifolium,Dysoxylum oppositifolium F.Muell.
Dysoxylum papuanum,Dysoxylum papuanum (Merr. & L.M.Perry) Mabb.
Dysoxylum parasiticum,Dysoxylum parasiticum (Osbeck) Kosterm.
Dysoxylum pettigrewianum,Dysoxylum pettigrewianum F.M.Bailey
Dysoxylum pumilum,Dysoxylum pumilum Mabb.
Dysoxylum rufum,Dysoxylum rufum (A.Rich.) Benth.
Echinacea,
Echinacea angustifolia,Echinacea angustifolia DC.
Echinacea pallida,Echinacea pallida (Nutt.) Nutt.
Echinocereus coccineus,Echinocereus coccineus Engelm.
Echinocereus fendleri,Echinocereus fendleri (Engelm.) Rümpler
Echinocereus pectinatus,Echinocereus pectinatus (Scheidw.) Engelm.
Echinochloa crus-galli,Echinochloa crus-galli (L.) P.Beauv.
Echinomastus intertextus,Sclerocactus intertextus (Engelm.) N.P.Taylor
Ecklonia cava,
Ecklonia kurome,
Edmondia sesamoides,Edmondia sesamoides (L.) Hilliard
Ehretia timorensis,Ehretia timorensis Decne.
Ehrharta bulbosa,Ehrharta bulbosa Sm.
Ehrharta calycina,Ehrharta calycina Sm.
Ehrharta ramosa,Ehrharta ramosa Thunb.
Ehrharta setacea,Ehrharta setacea Nees
Ehrharta villosa,Ehrharta villosa Schult.f.
Elaeagia utilis,Elaeagia utilis (Goudot) Wedd.
Elaeagnus umbellata,Elaeagnus umbellata Thunb.
Elaeis oleifera,Elaeis oleifera (Kunth) Cortés
Elaeocarpus,
Elaeocarpus bancroftii,Elaeocarpus bancroftii F.Muell. & F.M.Bailey
Elaeocarpus carolinae,Elaeocarpus carolinae B.Hyland & Coode
Elaeocarpus coorangooloo,Elaeocarpus coorangooloo J.F.Bailey & C.T.White
Elaeocarpus elliffii,Elaeocarpus elliffii B.Hyland & Coode
Elaeocarpus eumundii,
Elaeocarpus ferrugineus,Elaeocarpus ferrugineus (Jack) Steud.
Elaeocarpus ferruginiflorus,Elaeocarpus ferruginiflorus C.T.White
Elaeocarpus foveolatus,Elaeocarpus foveolatus F.Muell.
Elaeocarpus grandis,Elaeocarpus angustifolius Blume
Elaeocarpus griffithii,Elaeocarpus griffithii (Wight) A.Gray
Elaeocarpus largiflorens,Elaeocarpus largiflorens C.T.White
Elaeocarpus nitidus,Elaeocarpus nitidus Jack
Elaeocarpus palembanicus,Elaeocarpus palembanicus (Miq.) Corner
Elaeocarpus petiolatus,Elaeocarpus petiolatus (Jack) Wall.
Elaeocarpus rugosus,Elaeocarpus rugosus Roxb. ex G.Don
Elaeocarpus ruminatus,Elaeocarpus ruminatus F.Muell.
Elaeocarpus sericopetalus,Elaeocarpus sericopetalus F.Muell.
Elaeocarpus stipularis,Elaeocarpus stipularis Blume
Elaeodendron australe,Elaeodendron australe Vent.
Elaeodendron melanocarpum,Elaeodendron melanocarpum F.Muell.
Elateriospermum tapos,Elateriospermum tapos Blume
Elattostachys megalantha,Elattostachys megalantha S.T.Reynolds
Elegia cuspidata,Elegia cuspidata Mast.
Elegia filacea,Elegia filacea Mast.
Elegia juncea,Elegia juncea L.
Elegia microcarpa,Elegia microcarpa (Kunth) Moline & H.P.Linder
Elegia neesii,Elegia neesii Mast.
Elegia nuda,Elegia nuda (Rottb.) Kunth
Elegia stipularis,Elegia stipularis Mast.
Elegia thyrsifera,Elegia thyrsifera (Rottb.) Pers.
Elegia vaginulata,Elegia vaginulata Mast.
