parsed,ebird
Catharus minimus,gycthr
Catharus mustelinus,NA
Catharus ustulatus,swathr
Catherpes mexicanus,canwre
Catoptrophorus semipalmatus,NA
Centrocercus minimus,gusgro
Centrocercus urophasianus,saggro
Cepphus,NA
Cepphus carbo,spegui1
Cepphus columba,piggui
Cepphus grylle,blkgui
Cepphus,NA
Cerorhinca monocerata,rhiauk
Certhia americana,brncre
Certhia familaris,NA
Certhia familiaris,eurtre1
Ceryle alcyon,NA
Cettia diphone,NA
Cettiidae,NA
Chaetura pelagica,chiswi
Chaetura vauxi,vauswi
Chamaea fasciata,wrenti
Charadriidae,NA
Charadriiformes,NA
Charadrius alexandrinus,kenplo1
Charadrius dubius,lirplo
Charadrius hiaticula,corplo
Charadrius leschenaultii,grsplo
Charadrius mongolus,lesplo
Charadrius montanus,mouplo
Charadrius morinellus,eurdot
Charadrius placidus,lobplo1
Charadrius semipalmatus,semplo
Charadrius veredus,oriplo1
Charadrius vociferus,killde
Chen caerulescens,NA
Chlidonias hybridus,NA
Chlidonias leucopteru,NA
Chlidonias leucopterus,whwter
Chlidonias niger,blkter
Chloris sinica,origre
Chlorostilbon maugeanus,NA
Chondestes grammacus,larspa
Chordeiles acutipennis,lesnig
Chordeiles minor,comnig
Ciconiiformes,NA
Cinclus cinclus,whtdip1
Cinclus mexicanus,amedip
Cinclus pallasii,brodip1
Circus aeruginosus,wemhar1
Circus cyaneus,norhar1
Circus melanoleucus,NA
Circus pygargus,monhar1
Cisticola juncidis,zitcis1
Cistothorus palustris,marwre
Cistothorus platensis,sedwre
Clangula hyemalis,lotduc
Coccothraustes coccothraustes,hawfin
Coccothraustes vespertinus,evegro
Coccyzus americanus,yebcuc
Coccyzus erythropthalmus,bkbcuc
Coccyzus vieilloti,purlic1
Coereba flaveola,banana
Colaptes auratus,norfli
Colaptes auratus auratus,NA
Colaptes chrysoides,gilfli
Colinus virginianus,norbob
Colluricincla harmonica,grysht1
Columba fasciata,NA
Columba janthina,jawpig1
Columba livia,rocpig
Columba oenas,stodov1
Columba palumbus,cowpig1
Columbidae,NA
Columbina inca,incdov
Columbina passerina,cogdov
Contopus borealis,NA
Contopus cooperi,olsfly
Contopus latirostris,leapew1
Contopus pertinax,grepew
Contopus sordidulus,wewpew
Contopus spec,NA
Contopus virens,eawpew
Coragyps atratus,blkvul
Corvidae,NA
Corvidae,NA
Corvus brachyrhynchos,amecro
Corvus caurinus,norcro
Corvus corax,comrav
Corvus cornix,hoocro1
Corvus corone,carcro1
Corvus cryptoleucus,chirav
Corvus dauuricus,daujac1
Corvus frugilegus,rook1
Corvus macrorhynchos,labcro1
Corvus monedula,eurjac
Corvus ossifragus,fiscro
Corvus,NA
Corvus spec,NA
Coturnix coturnix,comqua1
Crex crex,corcra
Crotophaga ani,smbani
Crotophaga sulcirostris,grbani
Cuculidae,NA
Cuculus canorus,comcuc
Cuculus micropterus,indcuc1
Cuculus optatus,oricuc2
Cuculus poliocephalus,lescuc1
Cuculus saturatus,himcuc1
Cyanistes caeruleus,blutit
Cyanistes cyanus,azutit2
Cyanocitta cristata,blujay
Cyanocitta stelleri,stejay
Cyanocorax yncas,grnjay
Cyanopica cyanus,azwmag2
Cyanoptila cyanomelana,bawfly2
Cygnus,NA
Cygnus buccinator,truswa
Cygnus columbianus,tunswa
Cygnus cygnus,whoswa
Cygnus olor,mutswa
Cygnus,NA
Cynanthus latirostris,brbhum
Cypseloides niger,blkswi
Cyrtonyx montezumae,monqua
Daption capense,cappet
Delichon dasypus,ashmar1
Dendragapus canadensis,NA
Dendragapus obscurus,dusgro
Dendrocopos kizuki,NA
Dendrocopos leucotos,whbwoo1
Dendrocopos major,grswoo
Dendrocopos medius,NA
Dendrocopos minor,NA
Dendrocopos,NA
Dendroica caerulescens,NA
Dendroica castanea,NA
Dendroica cerulea,NA
Dendroica coronata,NA
Dendroica discolor,NA
Dendroica dominica,NA
Dendroica fusca,NA
Dendroica graciae,NA
Dendroica magnolia,NA
Dendroica nigrescens,NA
Dendroica occidentalis,NA
Dendroica palmarum,NA
Dendroica pensylvanica,NA
Dendroica petechia,NA
Dendroica pinus,NA
Dendroica stirata,NA
Dendroica striata,NA
Dendroica tigrina,NA
Dendroica townsendi,NA
Dendroica virens,NA
Diomedea,NA
Diomedea albatrus,NA
Diomedea amsterdamens,NA
Diomedea epomophora,royalb1
Diomedea exulans,wanalb
Diomedea immutabilis,NA
Diomedea nigripes,NA
Diomedea royal,NA
Diomedea sanfordi,NA
Diomedeidae,NA
Dolichonyx oryzivorus,boboli
Dryocopus martius,blawoo1
Dryocopus pileatus,pilwoo
Dumetella carolinensis,grycat
Egretta garzetta,litegr
Egretta intermedia,NA
Egretta sacra,pacreh1
Egretta thula,snoegr
Elanoides forficatus,swtkit
Elanus leucurus,whtkit
Emberiza aureola,yebbun
Emberiza cioides,meabun1
Emberiza citrinella,yellow2
Emberiza elegans,yetbun1
Emberiza fucata,chebun2
Emberiza hortulana,ortbun1
Emberiza leucocephala,NA
Emberiza rustica,rusbun
Emberiza schoeniclus,reebun
Emberiza,NA
Emberiza spodocephala,blfbun1
Emberiza sulphurata,yelbun1
Emberiza variabilis,grybun
Emberiza yessoensis,ocrbun1
Emberizidae,NA
Empidonax alnorum,aldfly
Empidonax difficilis,pasfly
Empidonax flaviventris,yebfly
Empidonax hammondii,hamfly
Empidonax minimus,leafly
Empidonax oberholseri,dusfly
Empidonax occidentalis,corfly
Empidonax species,NA
Empidonax traillii,wilfly
Empidonax unidentified,NA
Empidonax virescens,acafly
Empidonax wrightii,gryfly
Eophona migratoria,yebgro1
Eophona personata,japgro1
Eremophila alpestris,horlar
Erithacus rubecula,eurrob1
Eudyptes chrysocome,rocpen1
Eudyptes glaucoides,NA
Eudyptula cornutus,NA
Euphagus carolinus,rusbla
Euphagus cyanocephalus,brebla
Euphonia elegantissima,eleeup1
Eurynorhynchus pygmeus,NA
Falcipennis canadensis,sprgro
Falco amurensis,amufal1
Falco cherrug,sakfal1
Falco columbarius,merlin
Falco mexicanus,prafal
Falco naumanni,leskes1
Falcon unidentified,NA
Falco peregrinus,perfal
Falco rusticolus,gyrfal
Falco sparverius,amekes
Falco subbuteo,eurhob
Falco tinnunculus,eurkes
Falco vespertinus,reffal1
Ficedula albicilla,taifly1
Ficedula albicollis,colfly1
Ficedula hypoleuca,eupfly1
Ficedula mugimaki,mugfly
Ficedula narcissina,narfly
Ficedula parva,rebfly
Fratercula,NA
Fratercula arctica,atlpuf
Fratercula cirrhata,tufpuf
Fratercula corniculata,horpuf
Fregata,NA
Fregata magnificens,magfri
Fregata minor,grefri
Fregetta grallaria,wbspet1
Fregetta tropica,bbspet1
Fringilla coelebs,comcha
Fringilla montifringilla,brambl
Fringillidae,NA
Fulica americana,y00475
Fulica atra,eurcoo
Fulmarus,NA
Fulmarus glacialis,norful
Fulmarus glacialoides,souful1
Gallinago delicata,wilsni1
Gallinago gallinago,comsni
Gallinago hardwickii,latsni1
Gallinago media,gresni1
Gallinago megala,swisni1
Gallinago solitaria,solsni1
Gallinago,NA
Gallinago stenura,pitsni
Gallinula chloropus,commoo3
Garrodia nereis,gybstp1
Garrulax canorus,melthr
Garrulax cineraceus,NA
Garrulax sannio,NA
Garrulus glandarius,eurjay1
Garrulus lidthi,lidjay1
Gavia,NA
Gavia arctia,NA
Gavia arctica,arcloo
Gavia immer,comloo
Gavia pacifica,pacloo
Gavia stellata,retloo
Gaviiformes,NA
Geococcyx californianus,greroa
Geothlypis philadelphia,mouwar
Geothlypis trichas,comyel
Geotrygon montana,ruqdov
Glareola maldivarum,oripra
Glaucidium californicum,NA
Glaucidium gnoma,nopowl
Glaucidium passerinum,eupowl1
Gorsachius goisagi,janher1
Gorsachius melanolophus,manher1
Grus canadensis,NA
Grus grus,comcra
Guiraca caerulea,NA
Gygis alba,whiter
Gygis candida,NA
Gymnorhinus cyanocephalus,pinjay
Haematopus,NA
Haematopus bachmani,blkoys
Haematopus moquini,afroys1
Haematopus ostralegus,euroys1
Haemorhous mexicanus,houfin
Haemorhous purpureus,purfin
Halcyon coromanda,rudkin1
Haliaeetus albicilla,whteag
Haliaeetus leucocephalus,baleag
Haliaeetus pelagicus,stseag
Halobaena caerulea,blupet1
Halocyptena microsoma,NA
Helmitheros vermivorum,woewar1
Helmitheros vermivorus,NA
Hesperiphona vespertina,NA
Heteroscelus brevipes,NA
Heteroscelus incanus,NA
Hierococcyx hyperythrus,nohcuc1
Himantopus himantopus,bkwsti
Hippolais icterina,ictwar1
Hirundapus caudacutus,whtnee
Hirundinidae,NA
Hirundo daurica,NA
Hirundo fulva,NA
Hirundo pyrrhonota,NA
Hirundo rustica,barswa
Hirundo tahitica,pacswa1
Histrionicus histrionicus,harduc
Hydrobates pelagicus,bripet
Hydrobatidae,NA
Hydrophasianus chirurgus,phtjac1
Hylocichla mustelina,woothr
Hypsipetes amaurotis,brebul1
Icteria virens,yebcha
Icterus bullockii,bulori
Icterus cucullatus,hooori
Icterus galbula,balori
Icterus parisorum,scoori
Icterus spurius,orcori
Ictinia mississippiensis,miskit
Ixobrychus sinensis,yelbit
Ixoreus naevius,varthr
Junco hyemalis,daejun
Jynx torquilla,eurwry
Lagopus lagopus,wilpta
Lagopus mutus,NA
Laniidae,NA
Lanius bucephalus,buhshr1
Lanius collurio,rebshr1
Lanius excubitor,norshr1
Lanius ludovicianus,logshr
Laridae,NA
Larus,NA
Larus argentatus,hergul
Larus atricilla,NA
Larus audouinii,NA
Larus cachinnans,casgul2
Larus californicus,calgul
Larus canus,mewgul
Larus cirrocephalus,NA
Larus crassirostris,bktgul
Larus delawarensis,ribgul
Larus dominicanus,kelgul
Larus fuscus,lbbgul
Larus glaucescens,glwgul
Larus glaucoides,y00478
Larus hartlaubii,NA
Larus heermanni,heegul
Larus hemprichii,NA
Larus hyperboreus,glagul
Larus hyuperboreus,NA
Larus leucopthalmus,NA
Larus marinus,gbbgul
Larus melanocephalus,NA
Larus michahellis,yelgul1
Larus minutus,NA
Larus novaehollandiae,NA
Larus occidentalis,wesgul
Larus pacificus,pacgul1
Larus philadelphia,NA
Larus pipixcan,NA
Larus ridibundus,NA
Larus sabini,NA
Larus saundersi,NA
Larus schistisagus,slbgul
Larus thayeri,NA
Lavius collurio,NA
Leiothrix lutea,reblei
Leptotila verreauxi,whtdov
Leucosticte arctoa,asrfin1
Leucosticte tephrocotis,gcrfin
Limicola falcinellus,NA
Limnodromus,NA
Limnodromus scolopaceus,lobdow
Limnodromus semipalmatus,asidow1
Limnothlypis swainsonii,swawar
Limosa,NA
Limosa fedoa,margod
Limosa haemastica,hudgod
Limosa lapponica,batgod
Limosa limosa,bktgod
Locustella fasciolata,grgwar1
Locustella fluviatilis,eurwar2
Locustella lanceolata,lanwar
Locustella naevia,cogwar1
Locustella ochotensis,migwar
Lonchura punctulata,nutman
Lophodytes cucullatus,hoomer
Lophophanes cristatus,cretit2
Lophophnaes cristatus,NA
Loxia curvirostra,redcro
Loxia leucoptera,whwcro
Loxigilla portoricensis,NA
Lugensa brevirostris,NA
Lugensa pterodroma,NA
Luscina calliope,NA
Luscinia akahige,NA
Luscinia calliope,NA
Luscinia cyane,NA
Luscinia luscinia,thrnig1
Luscinia svecica,blueth
Macronectes giganteus,angpet1
Macronectes halli,norgip1
Macronectes,NA
Margarops fuscatus,peethr1
Megaceryle alcyon,belkin1
Megaceryle lugubris,crekin1
Megadyptes antipodes,yeepen1
Megascops kennicottii,wesowl1
Megascops spec,NA
Melanerpes aurifrons,gofwoo
Melanerpes carolinus,rebwoo
Melanerpes erythrocephalus,rehwoo
Melanerpes formicivorus,acowoo
Melanerpes lewis,lewwoo
Melanerpes portoricensis,purwoo1
Melanerpes uropygialis,gilwoo
Melanerpus carolinus,NA
Melanitta,NA
Melanitta americana,blksco2
Melanitta fusca,whwsco3
Melanitta nigra,blksco1
Melanitta perspicillata,sursco
Meleagris gallopavo,wiltur
Melospiza georgiana,swaspa
Melospiza lincolnii,linspa
Melospiza melodia,sonspa
Mergellus albellus,smew
Mergus,NA
Mergus albellus,NA
Mergus merganser,commer
Mergus serrator,rebmer
Micrathene whitneyi,elfowl
Milvus migrans,blakit1
Mimus polyglottos,normoc
Mniotilta varia,bawwar
Molothrus aeneus,brocow
Molothrus ater,bnhcow
Molothrus bonariensis,shicow
Monticola solitarius,burthr
Morus bassanus,norgan
Morus capensis,capgan1
Morus serrator,ausgan1
Motacilla alba,whiwag
Motacilla cinerea,grywag
Motacilla flava,eaywag1
Motacilla grandis,japwag1
Motacilla personata,NA
Motacillidae,NA
Muscicapa dauurica,asbfly
Muscicapa griseisticta,gysfly1
Muscicapa sibirica,dasfly
Muscicapa,NA
Muscicapa striata,spofly1
Muscicapidae,NA
Myadestes townsendi,towsol
Myiarchus antillarum,purfly1
Myiarchus cinerascens,astfly
Myiarchus crinitus,grcfly
Myiarchus tuberculifer,ducfly
Myiarchus tyrannulus,bncfly
Myioborus pictus,paired
Myiodynastes luteiventris,subfly
Myiopsitta monachus,monpar
Nesofregetta fuliginosa,pospet1
Nesospingus speculiferus,purtan1
Ninox scutulata,brnhao1
Nucifraga caryocatactes,eurnut1
Nucifraga columbiana,clanut
Numenius americanus,lobcur
Numenius arquata,eurcur
Numenius madagascariensis,faecur
Numenius minutus,litcur
Numenius phaeopus,whimbr
Nyctea scandiaca,NA
Nycticorax nycticorax,bcnher
Nyctidromus albicollis,compau
Oceanites oceanicus,wispet
Oceanodroma,NA
Oceanodroma castro,barpet
Oceanodroma furcata,ftspet
Oceanodroma homochroa,asspet
Oceanodroma leucorhoa,lcspet
Oceanodroma melania,bkspet
Oceanodroma microsoma,lsspet
Oceanodroma tethys,wrspet
Oenanthe oenanthe,norwhe
Oporornis agilis,conwar
Oporornis formosus,NA
Oporornis philadelphia,NA
Oporornis tolmiei,NA
Oreortyx pictus,mouqua
Oreoscoptes montanus,sagthr
Oreothlypis ruficapilla,NA
Oriolus chinensis,blnori1
Oriolus oriolus,eugori2
Ortalis vetula,placha
Otus asio,NA
Otus elegans,ryusco1
Otus flammeolus,NA
Otus kennicottii,NA
Otus lempiji,susowl2
Otus sunia,orsowl
Oxyura jamaicensis,rudduc
Pachyptila belcheri,slbpri1
Pachyptila crassirost,NA
Pachyptila crassirostris,fulpri1
Pachyptila desolata,dovpri1
Pachyptila eatoni,NA
Pachyptila salvini,salpri1
Pachyptila,NA
Pachyptila turtur,faipri1
Pachyptila vittata,brbpri1
Pagodroma nivea,snopet1
Pagophila eburnea,ivogul
Pandion haliaetus,osprey
Parabuteo unicinctus,hrshaw
Paridae,NA
Parkesia motacilla,louwat
Parkesia noveboracensis,norwat
Parula americana,NA
Parus ater,NA
Parus atricapillus,NA
Parus atricristatus,NA
Parus bicolor,NA
Parus caeruleus,NA
Parus carolinensis,NA
Parus cinctus,NA
Parus cristatus,NA
Parus gambeli,NA
Parus hudsonicus,NA
Parus major,gretit1
Parus minor,gretit4
Parus montanus,NA
Parus palustris,NA
Parus rufescens,NA
Parus,NA
Parus wollweberi,NA
Passerculus sandwichensis,savspa
Passer domesticus,houspa
Passerella iliaca,foxspa
Passeridae,NA
Passeriformes,NA
Passerina amoena,lazbun
Passerina ciris,paibun
Passerina cyanea,indbun
Passerina versicolor,varbun
Passer montanus,eutspa
Passer rutilans,NA
Pastor roseus,rossta2
Patagioenas squamosa,scnpig1
Pavo cristatus,compea
Pelagodroma,NA
Pelagodroma marina,wfspet
Pelecanoides georgicus,sgdpet1
Pelecanoides,NA
Pelecanoides urinatrix,codpet1
Pelecanus erythrorhynchos,amwpel
Pelecanus occidentalis,brnpel
Pelecanus onocrotalus,grwpel1
Perdix perdix,grypar
Pericrocotus divaricatus,ashmin1
Periparus ater,coatit2
Perisoreus canadensis,gryjay
Pernis apivorus,euhbuz1
Pernis ptilorhynchus,orihob2
Petrochelidon pyrrhonota,cliswa
Peucedramus taeniatus,oliwar
Phaethon,NA
Phaethon aethereus,rebtro
Phaethon lepturus,whttro
Phaethon rubricauda,rettro
Phainopepla,NA
Phainopepla nitens,phaino
Phalacrocoracidae,NA
Phalacrocoracidae,NA
Phalacrocorax,NA
Phalacrocorax aristotelis,eursha1
Phalacrocorax atricep,NA
Phalacrocorax atriceps,impcor1
Phalacrocorax auritus,doccor
Phalacrocorax campbel,NA
Phalacrocorax capensi,NA
Phalacrocorax capillatus,japcor1
Phalacrocorax carbo,grecor
Phalacrocorax coronat,NA
Phalacrocorax fuscescens,blfcor1
Phalacrocorax neglect,NA
Phalacrocorax pelagicus,pelcor
Phalacrocorax penicillatus,bracor
Phalaenoptilus nuttallii,compoo
Phalaropodidae,NA
Phalaropus,NA
Phalaropus fulicaria,NA
Phalaropus fulicarius,redpha1
Phalaropus lobatus,renpha
Phalaropus tricolor,wilpha
Phasianidae,NA
Phasianus colchicus,rinphe
Pheucticus ludovicianus,robgro
Pheucticus melanocephalus,bkhgro
Philomachus pugnax,NA
Phoebastria nigripes,bkfalb
Phoebetria fusca,sooalb1
Phoebetria palpebrata,limalb1
Phoebetria,NA
Phoenicurus auroreus,daured1
Phoenicurus ochruros,blared1
Phoenicurus phoenicurus,comred2
Phylloscopus,NA
Phylloscopus borealoides,salwar1
Phylloscopus collybita,comchi1
Phylloscopus coronatus,eacwar1
Phylloscopus ijimae,ijlwar1
Phylloscopus inornatus,yebwar3
Phylloscopus sibilatrix,woowar
Phylloscopus,NA
Phylloscopus trochiloides,grewar3
Phylloscopus trochilus,wlwwar
Phylloscopus xanthodryas,arcwar3
Pica hudsonia,bkbmag1
Pica nuttalli,yebmag
Pica pica,eurmag1
Picidae,NA
Picoides albolarvatus,NA
Picoides arcticus,bkbwoo
Picoides arizonae,NA
Picoides borealis,NA
Picoides dorsalis,attwoo1
Picoides nuttallii,NA
Picoides pubescens,NA
Picoides scalaris,NA
Picoides tridactylus,ettwoo1
Picoides villosus,NA
Picus awokera,japwoo1
Picus canus,gyfwoo1
Picus viridis,eugwoo2
Pinicola enucleator,pingro
Pipilio chlorurus,NA
Pipilo aberti,NA
Pipilo chlorurus,gnttow
Pipilo crissalis,NA
Pipilo erythrophthalmus,eastow
Pipilo fuscus,NA
Pipilo maculatus,spotow
Pipilo spec,NA
Piranga flava,heptan
Piranga ludoviciana,westan
Piranga olivacea,scatan
Piranga rubra,sumtan
Pitangus sulphuratus,grekis
Pittidae,NA
Platalea leucorodia,eurspo1
Platalea minor,blfspo1
Plectrophenax nivalis,snobun
Pluvialis apricaria,eugplo
Pluvialis apricarius,NA
Pluvialis fulva,pagplo
Pluvialis squatarola,bkbplo
Plylloscopus trochilus,NA
Podiceps auritus,horgre
Podiceps cornutus,NA
Podiceps cristatus,grcgre1
Podiceps grisegena,rengre
Podiceps nigricollis,eargre
Podicipediformes,NA
Podilymbus podiceps,pibgre
Poecile,NA
Poecile atrcapillus,NA
Poecile atricapillus,bkcchi
Poecile carolinensis,carchi
Poecile gambeli,mouchi
Poecile hudsonica,NA
Poecile hudsonicus,borchi2
Poecile montanus,wiltit1
Poecile palustris,martit2
Poecilepalustris,NA
Poecile rufescens,chbchi
Poecile varius,NA
Polioptila caerulea,buggna
Polioptila melanura,bktgna
Polioptilidae,NA
Polyborus plancus,NA
Polysticta stelleri,steeid
Pooecetes gramineus,vesspa
Porzana carolina,sora
Porzana fusca,NA
Procellaria aequinoct,NA
Procellaria aequinoctialis,whcpet1
Procellaria cinerea,grapet
Procellaria parkinsoni,parpet1
Procellaria westlandica,wespet1
Procellariidae,NA
Procellariiformes,NA
Progne subis,purmar
Protonotaria citrea,prowar
Prunella collaris,alpacc1
Prunella modularis,dunnoc1
Prunella rubida,japacc1
Psaltriparus minimus,bushti
Psittacula krameri,rorpar
Pterodoma nigripennis,NA
Pterodroma,NA
Pterodroma arminjonia,NA
Pterodroma arminjoniana,tripet1
Pterodroma baraui,barpet1
Pterodroma cookii,coopet
Pterodroma cookilaria,NA
Pterodroma externa,jufpet
Pterodroma hasitata,bkcpet
Pterodroma incerta,atlpet1
Pterodroma inexpectat,NA
Pterodroma inexpectata,motpet
Pterodroma lessonii,whhpet1
Pterodroma leucoptera,goupet1
Pterodroma longirostris,stepet
Pterodroma macroptera,grwpet3
Pterodroma mollis,soppet1
Pterodroma neglecta,kerpet
Pterodroma phaeopygia,galpet
Pterodroma rostrata,NA
Pterodroma sandwichensis,hawpet1
Pterodroma solandri,solpet1
Pterodroma,NA
Pterodroma,NA
Pterodroma ultima,murpet
Ptychoramphus aleuticus,casauk
Puffinus,NA
Puffinus assimilis,litshe8
Puffinus atrodorsalis,NA
Puffinus auricularis,towshe1
Puffinus baroli,litshe1
Puffinus bulleri,NA
Puffinus carneipes,NA
Puffinus creatopus,NA
Puffinus gavia,flushe1
Puffinus gravis,NA
Puffinus griseus,NA
Puffinus lherminieri,audshe
Puffinus opisthomelas,bkvshe
Puffinus pacificus,NA
Puffinus puffinus,manshe
Puffinus,NA
Puffinus,NA
Puffinus tenuirostris,NA
Puffinus yelkouan,levshe1
Pycnonotidae,NA
Pycnonotus sinensis,livbul1
Pygoscelis adeliae,adepen1
Pygoscelis antarctica,NA
Pygoscelis antartica,NA
Pygoscelis papua,genpen1
Pyrocephalus rubinus,verfly
Pyrrhocorax pyrrhocorax,rebcho1
Pyrrhula pyrrhula,eurbul
Quiscalus major,botgra
Quiscalus mexicanus,grtgra
Quiscalus quiscula,comgra
Rallus aquaticus,watrai1
Recurvirostra americana,ameavo
